epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,825.092,2.34394,2.71864,2.10442,1.52042,0.63448,0.07692,0.10656,0.02293,0.63448,0.07692,0.1075,0.02396,3.15724,3.48484,3.55246,1.70752,0.0012476,0.0012476,0.0012476
78,834.659,2.53412,2.49184,2.4295,1.4571,0.45985,0.07692,0.12366,0.0243,0.09943,0.23077,0.10226,0.02086,2.89918,3.30498,3.41319,1.56271,0.0012377,0.0012377,0.0012377
79,844.198,2.65949,2.88962,2.26545,1.57691,0.45985,0.07692,0.12366,0.0243,0.09943,0.23077,0.10226,0.02086,2.89918,3.30498,3.41319,1.56271,0.0012278,0.0012278,0.0012278
80,853.84,2.39175,2.58559,2.15683,1.51367,0.45985,0.07692,0.12366,0.0243,0.09943,0.23077,0.10226,0.02086,2.89918,3.30498,3.41319,1.56271,0.0012179,0.0012179,0.0012179
81,863.506,2.45693,2.39799,2.02068,1.43517,0.45985,0.07692,0.12366,0.0243,0.09943,0.23077,0.10226,0.02086,2.89918,3.30498,3.41319,1.56271,0.001208,0.001208,0.001208
82,873.157,2.37587,2.70198,2.84908,1.5727,0.24563,0.12821,0.13785,0.03411,0.12608,0.25641,0.13396,0.03307,2.86329,3.38709,3.27727,1.50983,0.0011981,0.0011981,0.0011981
83,882.524,2.60784,2.7736,2.04257,1.48085,0.24563,0.12821,0.13785,0.03411,0.12608,0.25641,0.13396,0.03307,2.86329,3.38709,3.27727,1.50983,0.0011882,0.0011882,0.0011882
84,892.177,2.31367,2.51845,2.01074,1.54469,0.24563,0.12821,0.13785,0.03411,0.12608,0.25641,0.13396,0.03307,2.86329,3.38709,3.27727,1.50983,0.0011783,0.0011783,0.0011783
85,901.853,2.43007,2.26695,2.11384,1.54312,0.50088,0.10256,0.14373,0.03331,0.3027,0.15385,0.15237,0.04162,2.94647,3.38339,3.46681,1.50446,0.0011684,0.0011684,0.0011684
86,911.528,2.35561,2.82849,2.00293,1.65764,0.50088,0.10256,0.14373,0.03331,0.3027,0.15385,0.15237,0.04162,2.94647,3.38339,3.46681,1.50446,0.0011585,0.0011585,0.0011585
87,920.775,2.26721,2.33938,2.09861,1.52212,0.50088,0.10256,0.14373,0.03331,0.3027,0.15385,0.15237,0.04162,2.94647,3.38339,3.46681,1.50446,0.0011486,0.0011486,0.0011486
88,930.521,2.51827,2.85509,2.03087,1.49549,0.14833,0.20513,0.12884,0.04423,0.16503,0.17949,0.14122,0.05322,3.10727,3.38394,3.44423,1.46257,0.0011387,0.0011387,0.0011387
89,940.265,2.46387,2.80844,1.90209,1.52273,0.14833,0.20513,0.12884,0.04423,0.16503,0.17949,0.14122,0.05322,3.10727,3.38394,3.44423,1.46257,0.0011288,0.0011288,0.0011288
90,949.442,2.52764,2.42659,2.40785,1.54511,0.14833,0.20513,0.12884,0.04423,0.16503,0.17949,0.14122,0.05322,3.10727,3.38394,3.44423,1.46257,0.0011189,0.0011189,0.0011189
91,959.669,2.51577,2.86485,1.97516,1.54546,0.1268,0.17949,0.13186,0.03863,0.12642,0.25641,0.13059,0.04842,3.16598,3.41173,3.85834,1.50543,0.001109,0.001109,0.001109
92,969.215,2.51162,2.32848,2.51496,1.45751,0.1268,0.17949,0.13186,0.03863,0.12642,0.25641,0.13059,0.04842,3.16598,3.41173,3.85834,1.50543,0.0010991,0.0010991,0.0010991
93,978.619,2.50157,2.51056,2.20718,1.48857,0.1268,0.17949,0.13186,0.03863,0.12642,0.25641,0.13059,0.04842,3.16598,3.41173,3.85834,1.50543,0.0010892,0.0010892,0.0010892
94,988.345,2.44942,3.19483,2.11908,1.53885,0.25812,0.12821,0.10939,0.02282,0.25812,0.12821,0.11465,0.032,3.19957,3.49489,4.04723,1.50042,0.0010793,0.0010793,0.0010793
95,997.708,2.31991,2.64565,2.07282,1.65043,0.25812,0.12821,0.10939,0.02282,0.25812,0.12821,0.11465,0.032,3.19957,3.49489,4.04723,1.50042,0.0010694,0.0010694,0.0010694
96,1007.35,2.3692,2.5619,1.89398,1.4716,0.25812,0.12821,0.10939,0.02282,0.25812,0.12821,0.11465,0.032,3.19957,3.49489,4.04723,1.50042,0.0010595,0.0010595,0.0010595
97,1017.04,2.30143,2.465,2.03793,1.4296,0.25812,0.12821,0.10939,0.02282,0.25812,0.12821,0.11465,0.032,3.19957,3.49489,4.04723,1.50042,0.0010496,0.0010496,0.0010496
98,1027.08,2.37732,2.67612,1.93717,1.51266,0.28596,0.10256,0.14201,0.03289,0.13985,0.17949,0.14888,0.03855,3.26742,3.62149,3.58484,1.45094,0.0010397,0.0010397,0.0010397
99,1036.6,2.31876,2.62297,2.32365,1.53685,0.28596,0.10256,0.14201,0.03289,0.13985,0.17949,0.14888,0.03855,3.26742,3.62149,3.58484,1.45094,0.0010298,0.0010298,0.0010298
100,1046.13,2.23946,2.40515,2.01827,1.51299,0.28596,0.10256,0.14201,0.03289,0.13985,0.17949,0.14888,0.03855,3.26742,3.62149,3.58484,1.45094,0.0010199,0.0010199,0.0010199
101,1055.88,2.32357,2.87234,1.96099,1.48171,0.26974,0.15385,0.13038,0.03999,0.21743,0.17949,0.13865,0.05421,3.27367,3.5978,3.28907,1.52185,0.00101,0.00101,0.00101
102,1065.36,2.28839,2.24092,1.92383,1.40935,0.26974,0.15385,0.13038,0.03999,0.21743,0.17949,0.13865,0.05421,3.27367,3.5978,3.28907,1.52185,0.0010001,0.0010001,0.0010001
103,1074.93,2.58142,3.08088,2.21835,1.63645,0.26974,0.15385,0.13038,0.03999,0.21743,0.17949,0.13865,0.05421,3.27367,3.5978,3.28907,1.52185,0.0009902,0.0009902,0.0009902
104,1084.62,2.17336,2.40725,1.98868,1.52893,0.16918,0.20513,0.13095,0.04508,0.19144,0.20513,0.14505,0.05967,3.20359,3.54336,2.97519,1.52596,0.0009803,0.0009803,0.0009803
105,1094.25,2.44036,2.86477,1.94851,1.45924,0.16918,0.20513,0.13095,0.04508,0.19144,0.20513,0.14505,0.05967,3.20359,3.54336,2.97519,1.52596,0.0009704,0.0009704,0.0009704
106,1103.88,2.13083,2.34992,1.91555,1.5621,0.16918,0.20513,0.13095,0.04508,0.19144,0.20513,0.14505,0.05967,3.20359,3.54336,2.97519,1.52596,0.0009605,0.0009605,0.0009605
107,1113.58,2.14371,2.42243,1.94153,1.49877,0.17342,0.23077,0.1541,0.05209,0.21308,0.23077,0.16961,0.06392,3.02698,3.45881,2.7357,1.54546,0.0009506,0.0009506,0.0009506
108,1123.18,2.21347,2.42809,1.90414,1.61351,0.17342,0.23077,0.1541,0.05209,0.21308,0.23077,0.16961,0.06392,3.02698,3.45881,2.7357,1.54546,0.0009407,0.0009407,0.0009407
109,1132.63,2.12532,2.74166,1.93962,1.44918,0.17342,0.23077,0.1541,0.05209,0.21308,0.23077,0.16961,0.06392,3.02698,3.45881,2.7357,1.54546,0.0009308,0.0009308,0.0009308
110,1142,2.39821,2.82393,1.88912,1.47907,0.2666,0.20513,0.17266,0.06117,0.2666,0.20513,0.17175,0.06087,2.92464,3.46142,2.67384,1.56482,0.0009209,0.0009209,0.0009209
111,1151.69,2.29013,2.62532,1.99719,1.54022,0.2666,0.20513,0.17266,0.06117,0.2666,0.20513,0.17175,0.06087,2.92464,3.46142,2.67384,1.56482,0.000911,0.000911,0.000911
112,1161.56,2.36999,2.5421,1.95545,1.41617,0.2666,0.20513,0.17266,0.06117,0.2666,0.20513,0.17175,0.06087,2.92464,3.46142,2.67384,1.56482,0.0009011,0.0009011,0.0009011
113,1171.39,2.40494,2.76332,1.91289,1.39684,0.2666,0.20513,0.17266,0.06117,0.2666,0.20513,0.17175,0.06087,2.92464,3.46142,2.67384,1.56482,0.0008912,0.0008912,0.0008912
114,1181.25,2.31011,2.89743,2.01499,1.36804,0.1967,0.23077,0.18931,0.06405,0.27247,0.22106,0.18109,0.05781,2.83761,3.57453,2.6748,1.50335,0.0008813,0.0008813,0.0008813
115,1190.87,2.31907,2.62616,2.01967,1.42005,0.1967,0.23077,0.18931,0.06405,0.27247,0.22106,0.18109,0.05781,2.83761,3.57453,2.6748,1.50335,0.0008714,0.0008714,0.0008714
116,1201.22,2.12937,2.26952,1.86964,1.43504,0.1967,0.23077,0.18931,0.06405,0.27247,0.22106,0.18109,0.05781,2.83761,3.57453,2.6748,1.50335,0.0008615,0.0008615,0.0008615
117,1212.5,2.36269,2.60964,1.99896,1.30214,0.17063,0.38462,0.21056,0.06441,0.32722,0.17949,0.20801,0.06493,2.90578,3.74399,2.46319,1.56431,0.0008516,0.0008516,0.0008516
118,1222.32,2.29763,2.98451,2.20447,1.45031,0.17063,0.38462,0.21056,0.06441,0.32722,0.17949,0.20801,0.06493,2.90578,3.74399,2.46319,1.56431,0.0008417,0.0008417,0.0008417
