epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,9993.25,0.89355,0.6121,1.04396,0.77441,0.92157,0.90822,0.54779,1.40968,0.84415,1.64159,0.0003467,0.0003467,0.0003467
169,10049.8,0.89118,0.61887,1.05346,0.7683,0.91176,0.90081,0.54344,1.41109,0.84677,1.65479,0.0003368,0.0003368,0.0003368
170,10108.9,0.87815,0.60425,1.07245,0.73299,0.91508,0.89352,0.55257,1.41605,0.86657,1.64109,0.0003269,0.0003269,0.0003269
171,10178.6,0.91782,0.63895,1.09215,0.76035,0.83333,0.88111,0.54127,1.47856,0.88599,1.69891,0.000317,0.000317,0.000317
172,10232.1,0.88957,0.60528,1.05881,0.77198,0.81373,0.87883,0.53629,1.50183,0.90502,1.72077,0.0003071,0.0003071,0.0003071
173,10281.6,0.86496,0.5883,1.04234,0.75493,0.87255,0.87974,0.53185,1.51279,0.87969,1.74393,0.0002972,0.0002972,0.0002972
174,10330.9,0.88058,0.60848,1.07986,0.77571,0.86275,0.87768,0.53465,1.51592,0.86922,1.76154,0.0002873,0.0002873,0.0002873
175,10380.7,0.88982,0.62187,1.06147,0.77942,0.86606,0.88155,0.54019,1.46193,0.85005,1.73905,0.0002774,0.0002774,0.0002774
176,10440.7,0.84495,0.54904,1.06281,0.78369,0.85247,0.88128,0.53779,1.4492,0.84431,1.75497,0.0002675,0.0002675,0.0002675
177,10491.8,0.91383,0.59115,1.06956,0.76806,0.87659,0.88432,0.54947,1.42672,0.84918,1.72133,0.0002576,0.0002576,0.0002576
178,10547.7,0.87453,0.60628,1.08673,0.7697,0.89216,0.88475,0.54397,1.44679,0.86713,1.73097,0.0002477,0.0002477,0.0002477
179,10604.3,0.9136,0.63323,1.06606,0.7602,0.88235,0.88539,0.54237,1.46173,0.87557,1.7383,0.0002378,0.0002378,0.0002378
180,10659.8,0.90352,0.62666,1.06814,0.76726,0.86275,0.8861,0.54935,1.44515,0.87513,1.7209,0.0002279,0.0002279,0.0002279
181,10717.9,0.88414,0.60586,1.06758,0.76293,0.86275,0.88767,0.54654,1.42755,0.87064,1.70178,0.000218,0.000218,0.000218
