epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,992.792,1.57194,2.36638,1.32646,1.22634,0.85979,0.76596,0.87694,0.49985,0.69975,0.73404,0.68367,0.17455,1.5097,2.37078,1.13143,1.20363,0.0013961,0.0013961,0.0013961
63,1008.31,1.5332,2.27416,1.11222,1.16034,0.84853,0.81915,0.8825,0.50949,0.68223,0.68085,0.58385,0.16465,1.47373,2.37474,1.17051,1.19748,0.0013862,0.0013862,0.0013862
64,1021.98,1.55101,2.35081,1.26045,1.18962,0.84853,0.81915,0.8825,0.50949,0.68223,0.68085,0.58385,0.16465,1.47373,2.37474,1.17051,1.19748,0.0013763,0.0013763,0.0013763
65,1037.15,1.52978,2.23838,1.15306,1.20351,0.79404,0.82028,0.87873,0.50105,0.75527,0.76596,0.74412,0.22093,1.47433,2.17626,1.14307,1.18398,0.0013664,0.0013664,0.0013664
66,1052.45,1.58633,2.32244,1.23769,1.19769,0.79404,0.82028,0.87873,0.50105,0.75527,0.76596,0.74412,0.22093,1.47433,2.17626,1.14307,1.18398,0.0013565,0.0013565,0.0013565
67,1067.05,1.58417,2.45817,1.80412,1.18962,0.79404,0.82028,0.87873,0.50105,0.75527,0.76596,0.74412,0.22093,1.47433,2.17626,1.14307,1.18398,0.0013466,0.0013466,0.0013466
68,1081.61,1.50188,2.23006,1.15668,1.15399,0.84605,0.78723,0.88143,0.47907,0.78169,0.73404,0.77204,0.22963,1.4864,2.12441,1.14792,1.18879,0.0013367,0.0013367,0.0013367
69,1097.04,1.58595,2.35456,1.18829,1.15279,0.84605,0.78723,0.88143,0.47907,0.78169,0.73404,0.77204,0.22963,1.4864,2.12441,1.14792,1.18879,0.0013268,0.0013268,0.0013268
70,1111.3,1.61397,2.43861,1.10771,1.13845,0.84605,0.78723,0.88143,0.47907,0.78169,0.73404,0.77204,0.22963,1.4864,2.12441,1.14792,1.18879,0.0013169,0.0013169,0.0013169
71,1125.47,1.58372,2.34924,1.09674,1.1292,0.83923,0.77746,0.86947,0.47301,0.80546,0.7488,0.79585,0.22893,1.4847,2.18367,1.12112,1.18215,0.001307,0.001307,0.001307
72,1139.72,1.59706,2.35158,1.14901,1.14692,0.83923,0.77746,0.86947,0.47301,0.80546,0.7488,0.79585,0.22893,1.4847,2.18367,1.12112,1.18215,0.0012971,0.0012971,0.0012971
73,1156.56,1.51135,2.27972,1.18794,1.15933,0.86175,0.74468,0.86539,0.45976,0.75967,0.7234,0.72158,0.19414,1.50978,2.27819,1.13943,1.19284,0.0012872,0.0012872,0.0012872
74,1172.59,1.50311,2.28445,1.10797,1.16892,0.86175,0.74468,0.86539,0.45976,0.75967,0.7234,0.72158,0.19414,1.50978,2.27819,1.13943,1.19284,0.0012773,0.0012773,0.0012773
